"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Percentage change (yearly) All property types","Percentage change (yearly) Detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (yearly) Terraced houses","Percentage change (yearly) Flats and maisonettes","Pivotable date"
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1980-05,,quarterly,24.15,,,,,1980-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1980-06,,quarterly,24.15,,,,,1980-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1980-07,,quarterly,19.98,,,,,1980-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1980-08,,quarterly,19.98,,,,,1980-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1980-09,,quarterly,19.98,,,,,1980-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1980-10,,quarterly,12.71,,,,,1980-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1980-11,,quarterly,12.71,,,,,1980-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1980-12,,quarterly,12.71,,,,,1980-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1981-01,,quarterly,8.64,,,,,1981-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1981-02,,quarterly,8.64,,,,,1981-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1981-03,,quarterly,8.64,,,,,1981-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1981-04,,quarterly,7.29,,,,,1981-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1981-05,,quarterly,7.29,,,,,1981-05-01
