Name,URI,Region GSS code,Period,Sales volume,Reporting period,Average price All property types,Average price Detached houses,Average price Semi-detached houses,Average price Terraced houses,Average price Flats and maisonettes,Pivotable date
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1982-05,,quarterly,21811,,,,,01/05/1982
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1982-06,,quarterly,21811,,,,,01/06/1982
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1982-07,,quarterly,22360,,,,,01/07/1982
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1982-08,,quarterly,22360,,,,,01/08/1982
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1982-09,,quarterly,22360,,,,,01/09/1982
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1982-10,,quarterly,22685,,,,,01/10/1982
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1982-11,,quarterly,22685,,,,,01/11/1982
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1982-12,,quarterly,22685,,,,,01/12/1982
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1983-01,,quarterly,23355,,,,,01/01/1983
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1983-02,,quarterly,23355,,,,,01/02/1983
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1983-03,,quarterly,23355,,,,,01/03/1983
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1983-04,,quarterly,24167,,,,,01/04/1983
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1983-05,,quarterly,24167,,,,,01/05/1983
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1983-06,,quarterly,24167,,,,,01/06/1983
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1983-07,,quarterly,25183,,,,,01/07/1983
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1983-08,,quarterly,25183,,,,,01/08/1983
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1983-09,,quarterly,25183,,,,,01/09/1983
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1983-10,,quarterly,25386,,,,,01/10/1983
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1983-11,,quarterly,25386,,,,,01/11/1983
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1983-12,,quarterly,25386,,,,,01/12/1983
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1984-01,,quarterly,25589,,,,,01/01/1984
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1984-02,,quarterly,25589,,,,,01/02/1984
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1984-03,,quarterly,25589,,,,,01/03/1984
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1984-04,,quarterly,26401,,,,,01/04/1984
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1984-05,,quarterly,26401,,,,,01/05/1984
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1984-06,,quarterly,26401,,,,,01/06/1984
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1984-07,,quarterly,27416,,,,,01/07/1984
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1984-08,,quarterly,27416,,,,,01/08/1984
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1984-09,,quarterly,27416,,,,,01/09/1984
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1984-10,,quarterly,27823,,,,,01/10/1984
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1984-11,,quarterly,27823,,,,,01/11/1984
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1984-12,,quarterly,27823,,,,,01/12/1984
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-01,,quarterly,27823,,,,,01/01/1985
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-02,,quarterly,27823,,,,,01/02/1985
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-03,,quarterly,27823,,,,,01/03/1985
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-04,,quarterly,28838,,,,,01/04/1985
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-05,,quarterly,28838,,,,,01/05/1985
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-06,,quarterly,28838,,,,,01/06/1985
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-07,,quarterly,29447,,,,,01/07/1985
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-08,,quarterly,29447,,,,,01/08/1985
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-09,,quarterly,29447,,,,,01/09/1985
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-10,,quarterly,30463,,,,,01/10/1985
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-11,,quarterly,30463,,,,,01/11/1985
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-12,,quarterly,30463,,,,,01/12/1985
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1986-01,,quarterly,31072,,,,,01/01/1986
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1986-02,,quarterly,31072,,,,,01/02/1986
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1986-03,,quarterly,31072,,,,,01/03/1986
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1986-04,,quarterly,32494,,,,,01/04/1986
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1986-05,,quarterly,32494,,,,,01/05/1986
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1986-06,,quarterly,32494,,,,,01/06/1986
